test,iteration,energy_eV,rms_total,rms_broyden,rms_prec
cr_bulk,1,-6.29504061,0.98946,0.98946,1.9361
cr_bulk,2,-7.18404777,0.41177,0.41176,0.71687
cr_bulk,3,-7.18429181,0.24017,0.24016,0.27843
cr_bulk,4,-7.18429181,0.19217,0.19217,0.25822
cr_bulk,5,-7.18429181,0.064976,0.064973,0.098775
cr_bulk,6,-7.95277536,0.031598,0.031598,0.052259
cr_bulk,7,-8.19892623,0.02751,0.02751,0.035319
cr_bulk,8,-8.22887034,0.014437,0.014437,0.017428
cr_bulk,9,-8.25255795,0.013888,0.013888,0.015988
cr_bulk,10,-8.25463711,0.0063442,0.0063435,0.011203
cr_bulk,11,-8.25508247,0.003476,0.0034758,0.0043471
cr_bulk,12,-8.25598543,0.0019244,0.0019244,0.0025266
cr_bulk,13,-8.25636851,0.0008131,0.0008131,0.0012141
crcl3_solid,1,433.39977883,2.0004,2.0004,2.0947
crcl3_solid,2,5.58871114,2.0422,2.0422,2.1154
crcl3_solid,3,-41.69119133,0.94318,0.94318,0.95105
crcl3_solid,4,-42.78596477,0.41692,0.41692,0.42435
crcl3_solid,5,-42.78814019,0.16834,0.16834,0.17189
crcl3_solid,6,-36.51898589,0.11594,0.11594,0.11669
crcl3_solid,7,-34.46729335,0.090017,0.090017,0.090607
crcl3_solid,8,-34.82033109,0.062845,0.062845,0.063207
crcl3_solid,9,-36.11702999,0.036501,0.036501,0.036854
crcl3_solid,10,-36.82197188,0.016501,0.016501,0.017741
crcl3_solid,11,-37.58591522,0.008411,0.0084109,0.0099784
crcl3_solid,12,-38.28542577,0.0050063,0.0050062,0.0064373
crcl3_solid,13,-38.58524583,0.0028348,0.0028348,0.0038682
crcl3_solid,14,-38.76744404,0.0017193,0.0017193,0.0025629
crcl3_solid,15,-38.84795513,0.0012083,0.0012083,0.0019114
crcl3_solid,16,-38.86588722,0.000925,0.000925,0.0013702
crcl3_solid,17,-38.87489892,0.00078166,0.00078165,0.00099552
crcl3_solid,18,-38.87599148,0.00041553,0.00041552,0.00058701
crcl3_solid,19,-38.87666285,0.00023746,0.00023746,0.00034238
crcl3_solid,20,-38.87724456,0.00016403,0.00016403,0.00025165
crcl3_solid,21,-38.87763271,9.623e-05,9.623e-05,0.0001207
crcl3_solid,22,-38.87774399,4.4782e-05,4.4782e-05,5.7323e-05
crcl3_solid,23,-38.87782309,3.2827e-05,3.2827e-05,4.1361e-05
crcl3_solid,24,-38.87784253,1.3871e-05,1.3871e-05,1.6738e-05
crcl3_solid,25,-38.87788266,7.3237e-06,7.3236e-06,8.4786e-06
